"","X","Y","OBJECTID","stop_id","stop_code","stop_name","stop_desc","platform_code","platform_name","stop_lat","stop_lon","zone_id","stop_address","stop_url","level_id","location_type","parent_station","wheelchair_boarding","municipality","on_street","at_street","vehicle_type","Sidewalk_Width__ft_","Accessibility_Score","Sidewalk_Condition","Sidewalk_Material","Current_Shelter","Routes","Municipality_1","Neighborhood","created_user","created_date","last_edited_user","last_edited_date"
"40",-70.8958760002156,42.5247919999164,646764,"ER-0168-S",NA,"Salem","Salem - Commuter Rail - Track 1 (All Trains)",1,"Track 1 (All Trains)",42.524792,-70.895876,"CR-zone-3",NA,"https://www.mbta.com/stops/place-ER-0168","",0,"place-ER-0168",1,"Salem",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"41",-70.8854320003101,42.547276000198,646766,"ER-0183",NA,"Beverly","Beverly - Commuter Rail",NA,"Commuter Rail",42.547276,-70.885432,"CR-zone-4",NA,"https://www.mbta.com/stops/place-ER-0183","",0,"place-ER-0183",1,"Beverly",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"42",-70.8854320003101,42.547276000198,646767,"ER-0183-01",NA,"Beverly","Beverly - Commuter Rail - Track 1 (Outbound)",1,"Track 1 (Outbound)",42.547276,-70.885432,"CR-zone-4",NA,"https://www.mbta.com/stops/place-ER-0183","",0,"place-ER-0183",1,"Beverly",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"43",-70.8854320003101,42.547276000198,646768,"ER-0183-02",NA,"Beverly","Beverly - Commuter Rail - Track 2 (Boston)",2,"Track 2 (Boston)",42.547276,-70.885432,"CR-zone-4",NA,"https://www.mbta.com/stops/place-ER-0183","",0,"place-ER-0183",1,"Beverly",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"44",-70.8838509996449,42.5837790000367,646771,"ER-0208",NA,"North Beverly","North Beverly - Commuter Rail",NA,"Commuter Rail",42.583779,-70.883851,"CR-zone-5",NA,"https://www.mbta.com/stops/place-ER-0208","",0,"place-ER-0208",1,"Beverly",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"45",-70.8838509996449,42.5837790000367,646772,"ER-0208-01",NA,"North Beverly","North Beverly - Commuter Rail - Track 1 (Outbound)",1,"Track 1 (Outbound)",42.583779,-70.883851,"CR-zone-5",NA,"https://www.mbta.com/stops/place-ER-0208","",0,"place-ER-0208",1,"Beverly",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"46",-70.8838509996449,42.5837790000367,646773,"ER-0208-02",NA,"North Beverly","North Beverly - Commuter Rail - Track 2 (Boston)",2,"Track 2 (Boston)",42.583779,-70.883851,"CR-zone-5",NA,"https://www.mbta.com/stops/place-ER-0208","",0,"place-ER-0208",1,"Beverly",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"47",-70.87480100018,42.6092120003185,646775,"ER-0227-S",NA,"Hamilton/Wenham","Hamilton/Wenham - Commuter Rail - Track 1 (All Trains)",1,"Track 1 (All Trains)",42.609212,-70.874801,"CR-zone-5",NA,"https://www.mbta.com/stops/place-ER-0227","",0,"place-ER-0227",1,"Hamilton",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"48",-70.8405889997405,42.6769209996726,646777,"ER-0276-S",NA,"Ipswich","Ipswich - Commuter Rail - Track 1 (All Trains)",1,"Track 1 (All Trains)",42.676921,-70.840589,"CR-zone-6",NA,"https://www.mbta.com/stops/place-ER-0276","",0,"place-ER-0276",1,"Ipswich",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"49",-70.8590340001597,42.7268449996787,646779,"ER-0312-S",NA,"Rowley","Rowley - Commuter Rail - Track 1 (All Trains)",1,"Track 1 (All Trains)",42.726845,-70.859034,"CR-zone-7",NA,"https://www.mbta.com/stops/place-ER-0312","",0,"place-ER-0312",1,"Rowley",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"50",-70.8779699997876,42.7978370000451,646781,"ER-0362",NA,"Newburyport","Newburyport - Commuter Rail",NA,"Commuter Rail",42.797837,-70.87797,"CR-zone-8",NA,"https://www.mbta.com/stops/place-ER-0362","",0,"place-ER-0362",1,"Newburyport",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"51",-70.8779699997876,42.7978370000451,646782,"ER-0362-01",NA,"Newburyport","Newburyport - Commuter Rail - Track 1",1,"Track 1",42.797837,-70.87797,"CR-zone-8",NA,"https://www.mbta.com/stops/place-ER-0362","",0,"place-ER-0362",1,"Newburyport",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"52",-70.8779699997876,42.7978370000451,646783,"ER-0362-02",NA,"Newburyport","Newburyport - Commuter Rail - Track 2",2,"Track 2",42.797837,-70.87797,"CR-zone-8",NA,"https://www.mbta.com/stops/place-ER-0362","",0,"place-ER-0362",1,"Newburyport",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"53",-71.1586470002631,42.2332490002293,646785,"FB-0109",NA,"Endicott","Endicott - Commuter Rail",NA,"Commuter Rail",42.233249,-71.158647,"CR-zone-2",NA,"https://www.mbta.com/stops/place-FB-0109","",0,"place-FB-0109",2,"Dedham",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
"54",-71.1586470002631,42.2332490002293,646786,"FB-0109-01",NA,"Endicott","Endicott - Commuter Rail - Track 1 (Outbound)",1,"Track 1 (Outbound)",42.233249,-71.158647,"CR-zone-2",NA,"https://www.mbta.com/stops/place-FB-0109","",0,"place-FB-0109",2,"Dedham",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"DOT_ADMIN","2022/10/17 19:46:59+00","DOT_ADMIN","2022/10/17 19:46:59+00"
